bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,lat,long,view,waterfront
4,2.25,1810,9240,2.0,3,7,47.4362,-122.187,0,0
3,2.5,1600,2788,2.0,4,7,47.4034,-122.187,0,0
4,2.5,1720,8638,2.0,3,8,47.2704,-122.313,0,0
2,2.25,1240,705,2.0,3,7,47.5321,-122.073,0,0
3,2.0,1280,13356,1.0,3,7,47.3715,-122.074,0,0
4,3.5,2600,5100,2.0,3,8,47.6948,-122.395,0,0
2,1.0,1060,7200,1.0,4,6,47.7463,-122.315,0,0
3,2.0,2130,35169,1.0,4,8,47.7489,-122.123,0,0
3,1.0,1070,6164,1.0,3,7,47.3377,-122.291,0,0
3,2.25,998,844,2.0,3,7,47.6983,-122.367,0,0
5,2.5,2510,8050,1.0,4,7,47.7212,-122.172,0,0
5,3.25,3970,8029,2.0,3,9,47.7764,-122.385,2,0
4,3.5,4080,14450,2.0,3,12,47.5519,-122.106,2,0
4,2.25,1860,7000,1.0,3,8,47.3127,-122.339,0,0
4,1.75,1400,8374,1.0,3,7,47.4735,-122.344,0,0
4,2.5,3290,6012,2.0,3,9,47.5961,-121.98,0,0
4,2.5,1954,5075,2.0,3,8,47.2606,-122.253,0,0
3,2.5,1800,5372,2.0,3,8,47.7188,-122.177,0,0
4,2.5,2030,8100,1.0,3,7,47.7404,-122.186,0,0
3,1.75,1330,36537,1.0,4,7,47.3126,-122.129,0,0
0,0.0,1470,979,3.0,3,8,47.7145,-122.356,2,0
3,2.0,2100,31550,1.0,3,8,47.6907,-121.917,0,0
3,2.5,1470,4675,2.0,3,7,47.5261,-121.827,0,0
4,1.75,1760,5356,1.0,4,7,47.679,-122.288,0,0
2,1.0,1050,8220,1.0,4,6,47.7598,-122.316,0,0
4,2.75,2270,7375,1.0,4,7,47.7222,-122.168,0,0
4,2.5,2080,4080,1.0,5,7,47.572,-122.29,0,0
3,1.5,1780,10196,1.0,4,7,47.3375,-122.291,0,0
4,2.75,3540,13515,2.0,3,10,47.5945,-121.982,0,0
4,2.5,2750,5767,2.0,3,9,47.3595,-122.038,0,0
4,1.0,1150,2560,1.5,3,7,47.6368,-122.355,0,0
5,1.5,1720,4000,1.5,3,7,47.6197,-122.287,0,0
3,2.5,1820,1855,2.0,3,8,47.4643,-122.346,0,0
5,2.25,2890,12478,2.0,3,9,47.6295,-122.052,0,0
3,2.5,2140,3821,2.0,3,8,47.5541,-121.995,0,0
3,1.0,1660,5100,1.0,3,7,47.5323,-122.383,0,0
3,1.75,1910,12596,1.0,3,7,47.7399,-122.099,0,0
3,1.75,1650,8073,1.0,3,7,47.3187,-122.182,0,0
4,2.5,1950,3000,2.0,3,7,47.4977,-122.226,0,0
3,2.25,1790,7500,1.0,3,7,47.7321,-122.198,0,0
2,1.0,1170,4080,1.0,4,7,47.6784,-122.386,0,0
5,4.0,3720,15200,2.0,3,10,47.5956,-122.026,0,0
4,1.75,1470,5350,1.0,3,7,47.7048,-122.315,0,0
3,1.0,1130,5758,1.0,3,7,47.6413,-122.401,0,0
3,2.25,2190,7149,1.0,4,8,47.5243,-122.204,1,0
3,1.75,1060,7875,1.0,4,7,47.2761,-122.152,0,0
4,4.0,4320,8709,2.0,3,11,47.5369,-122.07,0,0
3,2.25,1640,8400,1.0,3,8,47.3733,-122.289,0,0
3,1.75,1680,9769,1.0,3,8,47.4631,-122.126,0,0
3,1.5,1540,8110,1.0,4,7,47.7329,-122.291,0,0
4,2.25,2360,7650,1.0,3,8,47.75,-122.292,0,0
3,1.75,1380,3225,1.0,4,7,47.6652,-122.338,0,0
4,2.5,1670,5116,2.0,3,8,47.7667,-122.33,0,0
5,2.25,3160,8065,2.0,3,8,47.5678,-122.089,0,0
2,2.0,1300,2500,1.0,4,7,47.6831,-122.373,0,0
2,1.0,840,6720,1.0,3,7,47.5707,-122.396,0,0
3,2.5,1970,6295,2.0,3,7,47.5158,-121.874,0,0
2,1.0,810,8424,1.0,4,6,47.3286,-122.346,0,0
4,2.5,2810,4922,2.0,3,9,47.614,-122.041,0,0
3,2.5,2300,8938,2.0,3,9,47.4181,-122.211,0,0
2,1.75,1480,4000,1.0,4,6,47.6916,-122.38,0,0
4,2.5,2190,6578,2.0,3,7,47.5305,-121.847,0,0
4,2.0,2600,9000,1.0,3,8,47.381,-122.299,0,0
4,2.5,2350,3800,2.0,3,8,47.4783,-122.123,0,0
3,2.5,2340,6837,2.0,3,7,47.3608,-122.194,0,0
4,1.0,1620,6000,1.5,5,7,47.4763,-122.206,0,0
4,2.5,2150,12028,2.0,4,8,47.7224,-122.101,0,0
3,2.5,2190,8528,1.0,3,8,47.6943,-122.209,0,0
4,3.0,3720,5000,2.5,5,9,47.6282,-122.322,0,0
3,2.5,2580,8154,1.0,3,10,47.7259,-122.361,0,0
3,2.25,1420,7297,1.0,3,7,47.4046,-122.194,0,0
4,4.25,4390,13833,2.0,3,10,47.5566,-122.026,3,0
4,2.25,2070,8720,1.0,5,8,47.6678,-122.182,0,0
3,2.75,1940,3088,2.0,3,8,47.5185,-121.878,3,0
4,2.0,2070,10800,2.0,3,7,47.7264,-122.237,0,0
4,1.0,1520,9800,1.5,4,7,47.7303,-122.236,0,0
3,1.75,1540,9450,1.0,4,6,47.6985,-122.348,0,0
4,1.5,1820,17918,1.0,4,8,47.521,-122.179,0,0
3,3.25,4160,35153,3.0,3,12,47.5749,-122.214,2,0
3,1.0,1050,6300,1.0,3,6,47.5128,-122.374,0,0
5,2.5,2220,9360,1.0,4,7,47.4341,-122.169,0,0
3,1.75,2650,5512,2.0,3,9,47.6265,-122.295,0,0
4,1.0,1310,8640,1.0,3,6,47.5104,-122.342,0,0
2,1.0,800,1200,2.0,3,7,47.6969,-122.347,0,0
3,1.75,2320,6400,1.0,4,8,47.6449,-122.389,2,0
1,0.75,520,12981,1.0,5,3,47.2082,-121.995,0,0
5,3.25,3160,5000,2.0,3,10,47.6464,-122.405,2,0
2,1.0,1280,9690,1.0,4,6,47.5341,-122.279,0,0
3,3.5,1240,1666,2.0,3,7,47.5496,-122.388,0,0
3,2.25,2590,9263,1.0,5,8,47.7691,-122.262,0,0
